index,Plot,Trat,Cultivar,Z1,Z2,Z3,Z4,Weights
1,A2,25,A,4,7,70,NA,0.75
3,A2,25,A,1,15,10,50,0.75
5,A2,25,A,2,7,7,NA,0.75
7,A2,25,A,3,7,20,NA,0.75
9,A2,25,A,4,25,20,NA,0.75
11,A2,25,A,4,10,15,5,0.75
13,A2,25,A,0,7,10,NA,0.75
15,A2,25,A,2,7,NA,NA,0.75
17,A2,25,A,1,15,15,NA,0.75
19,A2,25,A,0,12,30,NA,0.75
21,A2,25,A,1,15,10,40,0.75
23,A2,25,A,1,10,15,20,0.75
25,A2,25,A,5,7,50,NA,0.75
27,A2,25,A,4,12,20,NA,0.75
29,A2,25,A,3,12,NA,NA,0.75
31,C1,25,A,2,15,NA,NA,0.75
33,C1,25,A,2,10,18,NA,0.75
35,C1,25,A,4,7,10,NA,0.75
37,C1,25,A,1,12,3,NA,0.75
39,C1,25,A,2,10,30,NA,0.75
41,C1,25,A,1,15,20,NA,0.75
43,C1,25,A,5,7,15,NA,0.75
45,C1,25,A,1,20,25,NA,0.75
47,C1,25,A,2,7,12,NA,0.75
49,C1,25,A,3,10,10,NA,0.75
51,C1,25,A,3,12,12,NA,0.75
53,C1,25,A,2,7,NA,NA,0.75
55,C1,25,A,0,7,7,NA,0.75
57,C1,25,A,2,12,15,10,0.75
59,C1,25,A,2,10,15,NA,0.75
61,E3,25,A,2,5,20,NA,0.75
63,E3,25,A,2,7,10,NA,0.75
65,E3,25,A,2,1,NA,NA,0.75
67,E3,25,A,1,8,2,NA,0.75
69,E3,25,A,1,3,4,NA,0.75
71,E3,25,A,0,10,30,NA,0.75
73,E3,25,A,1,10,NA,NA,0.75
75,E3,25,A,2,7,10,NA,0.75
77,E3,25,A,1,4,10,5,0.75
79,E3,25,A,0,12,4,NA,0.75
81,E3,25,A,0,7,8,NA,0.75
83,E3,25,A,1,3,15,NA,0.75
85,E3,25,A,1,20,15,NA,0.75
87,E3,25,A,2,7,20,NA,0.75
89,E3,25,A,1,5,25,10,0.75
2,A2,25,C,2,4,30,NA,0.25
4,A2,25,C,0,1,10,NA,0.25
6,A2,25,C,0,1,2,NA,0.25
8,A2,25,C,0,2,NA,NA,0.25
10,A2,25,C,1,1,3,NA,0.25
12,A2,25,C,2,4,3,NA,0.25
14,A2,25,C,1,0,0,NA,0.25
16,A2,25,C,0,3,10,NA,0.25
18,A2,25,C,0,0,5,15,0.25
20,A2,25,C,0,2,7,NA,0.25
22,A2,25,C,0,2,12,NA,0.25
24,A2,25,C,0,4,15,5,0.25
26,A2,25,C,0,0,10,NA,0.25
28,A2,25,C,0,1,10,10,0.25
30,A2,25,C,1,0,2,5,0.25
32,C1,25,C,0,3,12,NA,0.25
34,C1,25,C,0,2,10,15,0.25
36,C1,25,C,0,2,15,NA,0.25
38,C1,25,C,1,1,1,15,0.25
40,C1,25,C,0,3,NA,NA,0.25
42,C1,25,C,0,1,3,20,0.25
44,C1,25,C,0,2,7,NA,0.25
46,C1,25,C,0,1,4,3,0.25
48,C1,25,C,0,1,1,NA,0.25
50,C1,25,C,0,0,0,NA,0.25
52,C1,25,C,0,2,12,NA,0.25
54,C1,25,C,0,2,3,NA,0.25
56,C1,25,C,1,2,2,0,0.25
58,C1,25,C,1,4,20,NA,0.25
60,C1,25,C,0,1,4,10,0.25
62,E3,25,C,0,0,1,10,0.25
64,E3,25,C,0,1,1,NA,0.25
66,E3,25,C,0,0,1,0,0.25
68,E3,25,C,0,2,7,NA,0.25
70,E3,25,C,0,1,2,20,0.25
72,E3,25,C,1,1,3,NA,0.25
74,E3,25,C,0,0,2,NA,0.25
76,E3,25,C,0,2,5,NA,0.25
78,E3,25,C,0,0,0,NA,0.25
80,E3,25,C,1,1,2,40,0.25
82,E3,25,C,0,2,1,NA,0.25
84,E3,25,C,0,1,2,NA,0.25
86,E3,25,C,0,3,7,NA,0.25
88,E3,25,C,1,1,10,3,0.25
90,E3,25,C,0,1,0,15,0.25
