Plot,Trat,Cultivar,Plant,Z1,S1,Z2,S2,Z3,S3,Z4,S4
A7,C1,C,1,0,40,0,65,0,40,10,100
A7,C1,C,2,0,40,0,75,0,100,0,100
A7,C1,C,3,0,22,5,35,15,95,0,100
A7,C1,C,4,0,35,0,35,0,55,0,100
A7,C1,C,5,0,10,0,40,0,65,0,100
A7,C1,C,6,0,15,0,40,0,60,10,100
A7,C1,C,7,0,35,0,45,2,100,10,100
A7,C1,C,8,0,60,0,75,2,100,,
A7,C1,C,9,0,60,0,60,3,85,0,100
A7,C1,C,10,0,20,2,70,0,80,2,100
A7,C1,C,11,0,5,0,20,2,75,10,100
A7,C1,C,12,0,10,0,25,0,75,20,100
A7,C1,C,13,0,40,0,60,0,70,0,100
A7,C1,C,14,0,18,0,25,2,50,7,100
A7,C1,C,15,0,20,0,25,4,75,0,100
A8,A3C1,C,1,0,10,0,3,25,100,30,100
A8,A3C1,C,2,0,5,0,15,30,100,20,100
A8,A3C1,C,3,0,2,0,50,5,50,5,100
A8,A3C1,C,4,0,5,0,10,0,60,0,100
A8,A3C1,C,5,0,3,0,15,10,100,0,100
A8,A3C1,C,6,0,1,0,3,2,100,10,100
A8,A3C1,C,7,0,5,3,20,30,75,10,100
A8,A3C1,C,8,0,3,0,2,0,60,10,100
A8,A3C1,C,9,0,30,0,5,20,30,0,100
A8,A3C1,C,10,0,7,0,15,5,80,30,100
A8,A3C1,C,11,0,3,0,2,0,1,10,80
A8,A3C1,C,12,0,5,0,15,0,60,20,100
A8,A3C1,C,13,0,4,0,5,0,20,,
A8,A3C1,C,14,0,1,0,3,7,80,0,100
A8,A3C1,C,15,0,7,0,3,3,30,0,100
A8,A3C1,A,1,0,2,0,5,2,100,20,100
A8,A3C1,A,2,0,15,0,40,0,100,5,100
A8,A3C1,A,3,0,12,0,70,0,100,30,100
A8,A3C1,A,4,0,4,0,12,0,100,0,100
A8,A3C1,A,5,0,3,0,15,0,100,0,100
A8,A3C1,A,6,0,15,0,5,15,25,20,100
A8,A3C1,A,7,0,5,0,5,5,40,0,100
A8,A3C1,A,8,0,3,0,3,15,75,15,100
A8,A3C1,A,9,0,2,0,30,5,100,5,100
A8,A3C1,A,10,0,5,0,30,10,100,,
A8,A3C1,A,11,0,3,0,40,10,100,10,100
A8,A3C1,A,12,0,3,0,3,10,100,0,100
A8,A3C1,A,13,0,5,0,30,5,100,0,100
A8,A3C1,A,14,0,3,2,5,25,95,2,100
A8,A3C1,A,15,0,3,0,2,20,100,0,100
A9,A1,A,1,0,3,0,70,5,100,0,100
A9,A1,A,2,0,3,5,15,20,100,20,100
A9,A1,A,3,0,2,0,50,12,100,20,100
A9,A1,A,4,0,2,2,40,10,100,50,100
A9,A1,A,5,0,5,0,5,7,100,2,100
A9,A1,A,6,0,2,0,25,0,90,10,100
A9,A1,A,7,0,5,0,85,0,100,2,100
A9,A1,A,8,0,3,0,85,12,100,25,100
A9,A1,A,9,0,5,0,15,2,80,20,100
A9,A1,A,10,0,3,0,65,20,100,20,100
A9,A1,A,11,0,3,0,75,25,100,0,100
A9,A1,A,12,0,7,0,75,2,100,5,100
A9,A1,A,13,0,5,0,30,2,100,0,100
A9,A1,A,14,0,3,0,80,3,100,60,100
A9,A1,A,15,0,2,0,60,3,100,2,100
B7,A1C1,C,1,0,7,0,5,3,70,10,100
B7,A1C1,C,2,0,5,0,7,0,25,0,100
B7,A1C1,C,3,0,10,0,7,5,40,5,100
B7,A1C1,C,4,0,30,5,40,0,100,20,100
B7,A1C1,C,5,0,7,0,5,25,100,3,100
B7,A1C1,C,6,0,7,0,45,0,15,30,100
B7,A1C1,C,7,0,4,0,12,10,40,75,100
B7,A1C1,C,8,0,10,0,20,10,75,0,100
B7,A1C1,C,9,0,5,0,10,15,65,15,100
B7,A1C1,C,10,0,5,0,20,10,100,0,100
B7,A1C1,C,11,0,5,0,4,7,50,5,100
B7,A1C1,C,12,0,5,0,25,10,40,12,100
B7,A1C1,C,13,0,3,0,4,7,12,10,95
B7,A1C1,C,14,0,5,0,20,7,50,30,100
B7,A1C1,C,15,0,3,0,7,15,70,10,100
B7,A1C1,A,1,0,5,2,25,25,100,80,100
B7,A1C1,A,2,0,7,15,30,30,100,10,100
B7,A1C1,A,3,0,5,0,30,60,100,25,100
B7,A1C1,A,4,0,5,0,5,45,90,25,100
B7,A1C1,A,5,0,7,0,65,20,100,,
B7,A1C1,A,6,0,5,0,5,25,70,80,100
B7,A1C1,A,7,0,7,0,10,15,80,50,100
B7,A1C1,A,8,0,5,0,40,25,100,50,100
B7,A1C1,A,9,0,5,0,100,25,100,,
B7,A1C1,A,10,0,15,0,20,10,100,80,100
B7,A1C1,A,11,0,20,0,20,75,95,80,100
B7,A1C1,A,12,0,15,5,40,10,100,10,100
B7,A1C1,A,13,0,3,0,5,20,60,20,100
B7,A1C1,A,14,0,5,3,20,15,100,30,100
B7,A1C1,A,15,0,15,0,25,90,100,20,100
B8,A1C3,C,1,0,17,0,30,0,30,10,100
B8,A1C3,C,2,0,10,0,30,5,65,15,100
B8,A1C3,C,3,0,15,0,40,0,50,90,100
B8,A1C3,C,4,0,7,0,20,0,40,5,100
B8,A1C3,C,5,0,10,0,15,25,100,15,100
B8,A1C3,C,6,0,15,0,40,0,40,50,100
B8,A1C3,C,7,0,30,0,45,40,100,,
B8,A1C3,C,8,0,15,0,12,7,60,0,100
B8,A1C3,C,9,0,10,0,25,2,10,15,80
B8,A1C3,C,10,0,7,0,7,10,55,0,100
B8,A1C3,C,11,0,1,0,70,30,100,10,100
B8,A1C3,C,12,0,7,0,25,0,20,40,75
B8,A1C3,C,13,0,2,0,3,2,25,70,100
B8,A1C3,C,14,0,5,0,25,20,92,10,100
B8,A1C3,C,15,0,12,0,25,30,70,,
B8,A1C3,A,1,0,40,0,85,25,100,0,100
B8,A1C3,A,2,0,12,2,17,25,100,,
B8,A1C3,A,3,0,7,0,20,5,100,,
B8,A1C3,A,4,0,12,0,20,10,100,0,100
B8,A1C3,A,5,0,15,0,80,10,100,0,100
B8,A1C3,A,6,0,15,0,30,80,100,25,100
B8,A1C3,A,7,0,7,0,60,0,100,0,100
B8,A1C3,A,8,0,7,0,15,25,85,,
B8,A1C3,A,9,0,5,0,60,25,100,25,100
B8,A1C3,A,10,0,7,0,20,10,100,20,100
B8,A1C3,A,11,0,12,0,18,15,100,0,100
B8,A1C3,A,12,0,10,0,40,5,100,30,100
B8,A1C3,A,13,0,15,0,30,10,100,,
B8,A1C3,A,14,0,5,0,70,50,100,30,100
B8,A1C3,A,15,0,7,0,70,15,100,,
B9,C1,C,1,1,40,3,60,0,100,15,100
B9,C1,C,2,0,35,0,50,0,90,10,100
B9,C1,C,3,0,15,0,35,0,30,22,100
B9,C1,C,4,0,75,0,50,15,100,12,100
B9,C1,C,5,0,20,5,45,0,100,0,100
B9,C1,C,6,0,35,5,90,0,100,0,100
B9,C1,C,7,0,30,2,55,5,100,0,100
B9,C1,C,8,0,15,2,50,5,100,5,100
B9,C1,C,9,0,12,0,55,0,75,15,100
B9,C1,C,10,0,10,0,45,0,100,3,100
B9,C1,C,11,0,40,0,90,5,100,0,100
B9,C1,C,12,0,15,0,65,0,100,10,100
B9,C1,C,13,0,40,0,50,5,100,0,100
B9,C1,C,14,0,30,0,75,2,100,0,100
B9,C1,C,15,0,20,0,50,0,60,0,100
C7,A3C1,C,1,0,25,0,5,0,12,40,85
C7,A3C1,C,2,0,4,1,3,3,60,0,100
C7,A3C1,C,3,0,15,0,15,4,100,0,100
C7,A3C1,C,4,0,23,0,5,5,90,15,100
C7,A3C1,C,5,1,5,0,40,80,100,,
C7,A3C1,C,6,0,3,0,25,0,75,0,100
C7,A3C1,C,7,0,3,0,2,0,5,7,90
C7,A3C1,C,8,0,3,25,27,3,12,30,100
C7,A3C1,C,9,0,2,0,5,7,20,0,80
C7,A3C1,C,10,0,7,0,10,5,70,10,100
C7,A3C1,C,11,0,5,3,5,5,90,0,100
C7,A3C1,C,12,0,2,0,12,25,90,10,100
C7,A3C1,C,13,0,3,0,5,0,20,20,100
C7,A3C1,C,14,0,4,2,7,10,60,10,100
C7,A3C1,C,15,0,2,0,3,0,7,15,98
C7,A3C1,A,1,0,12,0,12,5,70,5,100
C7,A3C1,A,2,0,15,0,7,12,75,70,100
C7,A3C1,A,3,0,5,0,35,7,100,25,100
C7,A3C1,A,4,0,5,0,3,7,75,5,100
C7,A3C1,A,5,0,5,10,80,7,100,,
C7,A3C1,A,6,0,7,0,15,5,100,7,100
C7,A3C1,A,7,0,7,25,50,30,100,,
C7,A3C1,A,8,0,5,2,3,20,100,,
C7,A3C1,A,9,0,10,0,7,10,100,20,100
C7,A3C1,A,10,0,7,12,35,30,100,,
C7,A3C1,A,11,0,15,10,100,7,100,,
C7,A3C1,A,12,0,10,20,70,15,100,,
C7,A3C1,A,13,0,7,0,30,7,100,5,100
C7,A3C1,A,14,0,7,2,7,12,100,10,100
C7,A3C1,A,15,0,3,2,20,15,100,25,100
C8,A1,A,1,0,7,0,12,50,80,30,100
C8,A1,A,2,0,3,3,10,25,70,,
C8,A1,A,3,0,5,0,75,20,100,10,100
C8,A1,A,4,0,7,2,20,20,80,25,100
C8,A1,A,5,0,7,0,7,5,80,12,100
C8,A1,A,6,0,20,5,30,20,100,,
C8,A1,A,7,0,7,0,40,0,20,30,100
C8,A1,A,8,0,12,0,40,10,100,5,100
C8,A1,A,9,0,5,0,5,30,90,25,100
C8,A1,A,10,0,7,0,5,25,85,15,100
C8,A1,A,11,0,2,0,5,10,100,10,100
C8,A1,A,12,0,7,0,5,30,92,10,100
C8,A1,A,13,0,5,0,60,40,100,0,100
C8,A1,A,14,0,7,0,20,30,100,20,100
C8,A1,A,15,0,4,0,55,20,100,,
C9,A1C3,C,1,0,7,0,30,2,40,0,100
C9,A1C3,C,2,0,12,2,25,15,100,2,100
C9,A1C3,C,3,0,3,3,28,3,50,3,100
C9,A1C3,C,4,0,5,0,25,2,40,18,100
C9,A1C3,C,5,0,7,0,10,5,100,0,100
C9,A1C3,C,6,0,7,0,12,10,65,3,100
C9,A1C3,C,7,0,3,1,45,0,75,12,100
C9,A1C3,C,8,0,40,1,30,18,65,50,100
C9,A1C3,C,9,0,25,0,25,0,100,7,100
C9,A1C3,C,10,0,3,0,10,2,85,10,100
C9,A1C3,C,11,0,5,0,20,10,100,15,100
C9,A1C3,C,12,0,4,0,30,5,75,8,100
C9,A1C3,C,13,0,15,0,20,3,65,15,100
C9,A1C3,C,14,0,40,0,50,7,40,2,100
C9,A1C3,C,15,0,2,0,12,3,50,12,100
C9,A1C3,A,1,0,7,0,60,15,100,20,100
C9,A1C3,A,2,0,17,0,25,0,20,7,100
C9,A1C3,A,3,0,10,0,15,25,80,,
C9,A1C3,A,4,0,12,4,25,10,100,0,100
C9,A1C3,A,5,0,12,15,40,20,75,30,100
C9,A1C3,A,6,0,7,2,30,40,90,15,100
C9,A1C3,A,7,0,5,2,40,20,100,30,100
C9,A1C3,A,8,0,7,2,60,4,100,7,100
C9,A1C3,A,9,0,10,0,25,0,100,10,100
C9,A1C3,A,10,0,7,0,20,12,50,30,100
C9,A1C3,A,11,0,15,0,40,3,65,0,100
C9,A1C3,A,12,0,12,10,80,2,100,0,100
C9,A1C3,A,13,0,5,0,30,2,100,7,100
C9,A1C3,A,14,0,2,5,55,15,100,7,100
C9,A1C3,A,15,0,5,0,40,3,100,10,100
D7,A1,A,2,0,4,0,10,10,100,7,100
D7,A1,A,3,0,3,0,65,30,100,40,100
D7,A1,A,4,0,3,0,7,17,100,25,100
D7,A1,A,5,0,7,3,20,7,100,,
D7,A1,A,6,0,12,2,10,25,78,18,100
D7,A1,A,7,0,12,2,30,30,100,0,100
D7,A1,A,8,0,7,0,15,10,100,0,100
D7,A1,A,9,0,10,0,40,4,100,10,100
D7,A1,A,10,0,2,2,15,35,100,5,100
D7,A1,A,11,0,3,1,40,20,100,25,100
D7,A1,A,12,0,5,0,15,40,100,10,100
D7,A1,A,13,0,2,0,3,10,70,10,100
D7,A1,A,14,0,1,1,25,10,100,30,100
D7,A1,A,15,0,5,5,60,20,100,10,100
D8,C1,C,1,0,45,10,55,20,100,5,100
D8,C1,C,2,0,12,5,35,15,100,0,100
D8,C1,C,3,0,5,0,25,3,45,10,100
D8,C1,C,4,0,40,12,45,5,100,40,100
D8,C1,C,5,0,28,5,40,5,75,15,100
D8,C1,C,6,0,20,5,40,12,45,30,100
D8,C1,C,7,3,75,5,70,12,80,5,100
D8,C1,C,8,0,40,3,60,10,80,0,100
D8,C1,C,9,0,18,20,45,17,95,50,100
D8,C1,C,10,0,25,25,50,10,100,15,100
D8,C1,C,11,0,7,20,40,5,100,5,100
D8,C1,C,12,0,12,5,50,10,75,0,100
D8,C1,C,13,0,40,2,60,10,55,50,100
D8,C1,C,14,0,25,10,50,15,100,2,100
D8,C1,C,15,0,7,10,40,15,95,3,100
D9,A1C1,C,1,0,7,3,10,10,80,7,100
D9,A1C1,C,2,0,20,3,50,10,90,0,100
D9,A1C1,C,3,0,5,0,40,10,100,5,100
D9,A1C1,C,4,0,3,0,20,12,95,10,100
D9,A1C1,C,5,0,10,15,45,10,85,5,100
D9,A1C1,C,6,0,5,2,25,10,100,10,100
D9,A1C1,C,7,0,3,0,15,5,75,15,100
D9,A1C1,C,8,0,7,2,20,15,100,5,100
D9,A1C1,C,9,0,20,0,30,1,30,10,100
D9,A1C1,C,10,0,7,5,35,3,98,0,100
D9,A1C1,C,11,0,5,0,30,3,75,10,100
D9,A1C1,C,12,0,12,0,25,0,100,0,100
D9,A1C1,C,13,0,5,2,25,5,100,2,100
D9,A1C1,C,14,0,5,0,10,5,40,5,100
D9,A1C1,C,15,0,10,2,15,12,60,5,100
D9,A1C1,C,16,0,7,1,18,2,70,20,100
D9,A1C1,A,1,0,3,0,40,10,100,5,100
D9,A1C1,A,2,0,15,1,55,0,100,7,100
D9,A1C1,A,3,0,15,0,75,25,100,10,100
D9,A1C1,A,4,0,7,0,30,10,100,10,100
D9,A1C1,A,5,0,10,3,50,10,100,10,100
D9,A1C1,A,6,0,10,0,70,10,100,0,100
D9,A1C1,A,7,0,5,3,40,20,100,12,100
D9,A1C1,A,8,0,7,3,60,7,100,10,100
D9,A1C1,A,9,0,7,1,60,25,100,,
D9,A1C1,A,10,0,5,0,10,3,100,0,100
D9,A1C1,A,11,0,7,3,80,0,100,,
D9,A1C1,A,12,0,7,1,25,10,100,15,100
D9,A1C1,A,13,0,5,2,75,10,100,0,100
D9,A1C1,A,14,0,5,0,30,0,85,0,100
D9,A1C1,A,15,0,10,0,65,0,100,15,100
E7,A1C3,C,1,0,17,3,100,15,100,10,100
E7,A1C3,C,2,0,3,0,15,0,40,15,100
E7,A1C3,C,3,0,5,0,40,12,95,15,100
E7,A1C3,C,4,0,3,2,25,3,5,10,75
E7,A1C3,C,5,0,12,0,40,15,40,40,100
E7,A1C3,C,6,0,1,0,27,0,30,20,100
E7,A1C3,C,7,0,15,0,22,40,100,15,100
E7,A1C3,C,8,0,4,0,20,12,30,10,100
E7,A1C3,C,9,0,17,15,55,10,80,15,100
E7,A1C3,C,10,0,7,0,30,7,60,20,100
E7,A1C3,C,11,0,3,0,20,15,80,12,100
E7,A1C3,C,12,0,15,0,30,10,80,5,100
E7,A1C3,C,13,0,2,5,50,10,60,20,100
E7,A1C3,C,14,0,45,9,65,15,95,7,100
E7,A1C3,C,15,0,30,4,45,10,60,5,100
E7,A1C3,A,1,0,7,0,12,10,90,,
E7,A1C3,A,2,0,15,0,15,50,100,7,100
E7,A1C3,A,3,0,12,7,25,5,100,7,100
E7,A1C3,A,4,0,15,0,30,7,80,10,100
E7,A1C3,A,5,0,12,2,20,5,95,5,100
E7,A1C3,A,6,0,22,20,50,15,100,0,100
E7,A1C3,A,7,0,20,0,25,7,75,20,100
E7,A1C3,A,8,0,12,0,20,25,90,15,100
E7,A1C3,A,9,0,12,1,20,20,100,10,100
E7,A1C3,A,10,0,15,0,50,20,100,0,100
E7,A1C3,A,11,0,20,7,60,5,100,10,100
E7,A1C3,A,12,0,5,5,75,15,100,10,100
E7,A1C3,A,13,0,5,0,15,10,100,15,100
E7,A1C3,A,14,0,15,0,40,5,50,10,100
E7,A1C3,A,15,0,12,3,40,10,100,10,100
E8,A1C1,C,1,0,3,0,5,0,40,10,100
E8,A1C1,C,2,0,1,0,7,0,5,60,100
E8,A1C1,C,3,0,5,1,40,10,70,12,100
E8,A1C1,C,4,0,5,3,50,3,35,35,100
E8,A1C1,C,5,0,4,2,25,2,75,5,100
E8,A1C1,C,6,0,3,0,10,18,70,10,100
E8,A1C1,C,7,0,12,10,40,5,75,10,100
E8,A1C1,C,8,0,5,2,22,10,70,6,100
E8,A1C1,C,9,0,2,0,10,2,45,10,100
E8,A1C1,C,10,0,5,0,6,17,98,7,100
E8,A1C1,C,11,0,10,3,25,17,85,7,100
E8,A1C1,C,12,0,5,2,40,3,100,3,100
E8,A1C1,C,13,0,15,0,30,10,80,10,100
E8,A1C1,C,14,0,2,0,22,7,100,5,100
E8,A1C1,C,15,0,7,0,15,5,100,7,100
E8,A1C1,C,16,0,2,0,7,5,30,10,100
E8,A1C1,A,1,0,5,0,90,40,100,,
E8,A1C1,A,2,0,5,0,25,7,100,7,100
E8,A1C1,A,3,0,2,0,7,5,30,10,100
E8,A1C1,A,4,0,3,7,70,25,100,5,100
E8,A1C1,A,5,0,7,0,7,15,100,30,100
E8,A1C1,A,6,0,7,2,35,0,100,40,100
E8,A1C1,A,7,0,15,0,100,12,100,,
E8,A1C1,A,8,0,15,4,50,25,100,10,100
E8,A1C1,A,9,0,3,0,5,15,75,25,100
E8,A1C1,A,10,0,3,0,40,12,100,10,100
E8,A1C1,A,11,0,7,0,7,25,75,20,100
E8,A1C1,A,12,0,7,0,15,25,85,20,100
E8,A1C1,A,13,0,5,0,10,17,80,15,100
E8,A1C1,A,14,0,12,4,40,40,100,0,100
E8,A1C1,A,15,0,12,1,20,30,85,15,100
E9,A3C1,C,1,0,1,0,15,0,80,2,100
E9,A3C1,C,2,0,2,0,20,0,100,7,100
E9,A3C1,C,3,0,2,0,2,0,75,0,100
E9,A3C1,C,4,0,1,0,1,0,10,2,100
E9,A3C1,C,5,0,2,0,10,7,100,3,100
E9,A3C1,C,6,0,2,0,40,15,100,2,100
E9,A3C1,C,7,0,1,0,3,0,100,7,100
E9,A3C1,C,8,0,1,0,30,2,90,7,100
E9,A3C1,C,9,0,3,2,70,2,100,0,100
E9,A3C1,C,10,0,3,0,50,0,100,0,100
E9,A3C1,C,11,0,1,0,5,10,60,0,100
E9,A3C1,C,12,0,1,0,1,0,60,5,100
E9,A3C1,C,13,0,1,0,1,0,20,2,100
E9,A3C1,C,14,0,25,0,2,7,75,7,100
E9,A3C1,C,15,0,1,0,1,10,100,2,100
E9,A3C1,A,1,0,5,0,65,0,100,0,100
E9,A3C1,A,2,0,10,0,3,2,100,0,100
E9,A3C1,A,3,0,5,0,10,5,100,2,100
E9,A3C1,A,4,0,2,0,95,0,100,0,100
E9,A3C1,A,5,0,3,0,50,3,100,0,100
E9,A3C1,A,6,0,3,0,45,7,100,0,100
E9,A3C1,A,7,0,1,0,85,7,100,2,100
E9,A3C1,A,8,0,1,0,2,10,100,2,100
E9,A3C1,A,9,0,1,0,60,2,100,10,100
E9,A3C1,A,10,0,1,0,5,0,75,0,100
E9,A3C1,A,11,0,3,0,75,0,100,0,100
E9,A3C1,A,12,0,1,0,20,7,70,0,100
E9,A3C1,A,13,0,5,0,10,2,70,0,100
E9,A3C1,A,14,0,2,0,20,0,100,3,100
E9,A3C1,A,15,0,1,0,3,0,90,7,100
